"Trial","Osm","Cu","H2S","Anoxia","Dead","Alive"
5,12.8,66.6,0.03,1,98,0
5,12.8,66.6,0.1,0,116,0
5,12.8,66.6,0.1,1,111,0
5,12.8,66.6,0.32,0,104,0
5,12.8,66.6,0.32,1,259,0
5,12.8,133.3,0,0,75,0
5,12.8,133.3,0,1,64,0
5,12.8,133.3,0.03,0,216,0
5,12.8,133.3,0.03,1,91,0
5,12.8,133.3,0.1,0,139,0
5,12.8,133.3,0.1,1,132,0
5,12.8,133.3,0.32,0,212,0
5,12.8,133.3,0.32,1,214,0
5,22.4,0,0,0,1,116
5,22.4,0,0,1,2,90
5,22.4,0,0.03,0,0,112
5,22.4,0,0.03,1,2,61
5,22.4,0,0.1,0,42,61
5,22.4,0,0.1,1,99,0
5,22.4,0,0.32,0,87,0
5,22.4,0,0.32,1,101,7
5,22.4,33.3,0,0,0,91
5,22.4,33.3,0,1,4,94
5,22.4,33.3,0.03,0,119,4
5,22.4,33.3,0.03,1,57,4
5,22.4,33.3,0.1,0,120,0
5,22.4,33.3,0.1,1,124,0
5,22.4,33.3,0.32,0,95,0
5,22.4,33.3,0.32,1,269,0
5,22.4,66.6,0,0,73,46
5,22.4,66.6,0,1,74,12
5,22.4,66.6,0.03,0,135,2
5,22.4,66.6,0.03,1,97,0
5,22.4,66.6,0.1,0,148,0
5,22.4,66.6,0.1,1,118,0
5,22.4,66.6,0.32,0,112,0
5,22.4,66.6,0.32,1,51,0
5,22.4,133.3,0,0,90,0
5,22.4,133.3,0,1,45,0
5,22.4,133.3,0.03,0,168,0
5,22.4,133.3,0.03,1,73,0
5,22.4,133.3,0.1,0,147,0
5,22.4,133.3,0.1,1,141,0
5,22.4,133.3,0.32,0,372,0
5,22.4,133.3,0.32,1,98,0
5,32,0,0,0,1,129
5,32,0,0,1,13,61
5,32,0,0.03,0,2,151
5,32,0,0.03,1,1,54
5,32,0,0.1,0,56,30
5,32,0,0.1,1,14,40
5,32,0,0.32,0,290,0
5,32,0,0.32,1,40,0
5,32,33.3,0,0,2,81
5,32,33.3,0,1,12,73
5,32,33.3,0.03,0,107,2
5,32,33.3,0.03,1,90,2
5,32,33.3,0.1,0,110,0
5,32,33.3,0.1,1,108,0
5,32,33.3,0.32,0,94,0
5,32,33.3,0.32,1,239,0
5,32,66.6,0,0,52,68
5,32,66.6,0,1,51,19
5,32,66.6,0.03,0,199,2
5,32,66.6,0.03,1,74,0
5,32,66.6,0.1,0,162,0
5,32,66.6,0.1,1,94,0
5,32,66.6,0.32,0,118,0
5,32,66.6,0.32,1,319,0
5,32,133.3,0,0,123,0
5,32,133.3,0,1,49,0
5,32,133.3,0.03,0,179,1
5,32,133.3,0.03,1,84,0
5,32,133.3,0.1,0,85,0
5,32,133.3,0.1,1,79,0
5,32,133.3,0.32,0,259,0
5,32,133.3,0.32,1,247,0
5,41.6,0,0,0,1,96
5,41.6,0,0,1,6,99
5,41.6,0,0.03,0,2,173
5,41.6,0,0.03,1,9,73
5,41.6,0,0.1,0,113,13
5,41.6,0,0.1,1,21,17
5,41.6,0,0.32,0,96,0
5,41.6,0,0.32,1,44,0
5,41.6,33.3,0,0,2,86
